"","AN_RECENS","DEP_RES_21","AGE_GROUP","TYP_ACT","CSP","test"
"164",1968,"03","15-29",3,9,15444
"165",1968,"03","15-29",4,9,1860
"166",1968,"03","15-29",6,9,11432
"167",1968,"03","30-44",1,1,7932
"168",1968,"03","30-44",1,2,5472
"169",1968,"03","30-44",1,3,2112
"170",1968,"03","30-44",1,4,5708
"171",1968,"03","30-44",1,5,8936
"172",1968,"03","30-44",1,6,18464
"173",1968,"03","30-44",2,3,16
"174",1968,"03","30-44",2,4,32
"175",1968,"03","30-44",2,5,180
"176",1968,"03","30-44",2,6,352
"177",1968,"03","30-44",2,9,12
"178",1968,"03","30-44",3,9,84
"179",1968,"03","30-44",6,9,22012
"180",1968,"03","45-59",1,1,8920
"181",1968,"03","45-59",1,2,6856
"182",1968,"03","45-59",1,3,1716
"183",1968,"03","45-59",1,4,4008
"184",1968,"03","45-59",1,5,7424
"185",1968,"03","45-59",1,6,12988
"186",1968,"03","45-59",2,3,8
"187",1968,"03","45-59",2,4,52
"188",1968,"03","45-59",2,5,252
"189",1968,"03","45-59",2,6,388
"190",1968,"03","45-59",3,9,4
"191",1968,"03","45-59",5,8,3756
"192",1968,"03","45-59",6,9,19048
"193",1968,"03","60-74",1,1,5748
"194",1968,"03","60-74",1,2,3640
"195",1968,"03","60-74",1,3,512
"196",1968,"03","60-74",1,4,940
"197",1968,"03","60-74",1,5,2048
"198",1968,"03","60-74",1,6,3436
"199",1968,"03","60-74",2,3,8
"200",1968,"03","60-74",2,4,36
"201",1968,"03","60-74",2,5,60
"202",1968,"03","60-74",2,6,188
"203",1968,"03","60-74",5,8,29808
"204",1968,"03","60-74",6,9,18052
"205",1968,"03","75 and more",1,1,424
"206",1968,"03","75 and more",1,2,288
"207",1968,"03","75 and more",1,3,24
"208",1968,"03","75 and more",1,4,80
"209",1968,"03","75 and more",1,5,44
"210",1968,"03","75 and more",1,6,20
"211",1968,"03","75 and more",2,6,4
"212",1968,"03","75 and more",5,8,13100
"213",1968,"03","75 and more",6,9,7556
"214",1968,"03","<15",1,1,68
"215",1968,"03","<15",1,4,4
"216",1968,"03","<15",1,5,12
"217",1968,"03","<15",1,6,260
"218",1968,"03","<15",2,6,4
"219",1968,"03","<15",3,9,4708
"220",1968,"03","<15",6,9,82448
"221",1968,"03",NA,1,1,108
"222",1968,"03",NA,1,2,64
"223",1968,"03",NA,1,4,8
"224",1968,"03",NA,1,5,12
"225",1968,"03",NA,1,6,4
"226",1968,"03",NA,5,8,1624
"227",1968,"03",NA,6,9,864
"228",1968,"04","15-29",1,1,752
"229",1968,"04","15-29",1,2,832
"230",1968,"04","15-29",1,3,224
"231",1968,"04","15-29",1,4,1356
"232",1968,"04","15-29",1,5,2552
"233",1968,"04","15-29",1,6,4600
"234",1968,"04","15-29",2,3,4
"235",1968,"04","15-29",2,4,20
"236",1968,"04","15-29",2,5,148
"237",1968,"04","15-29",2,6,180
"238",1968,"04","15-29",2,9,28
"239",1968,"04","15-29",3,9,4612
"240",1968,"04","15-29",4,9,468
"241",1968,"04","15-29",6,9,4256
"242",1968,"04","30-44",1,1,1828
"243",1968,"04","30-44",1,2,1884
"244",1968,"04","30-44",1,3,832
"245",1968,"04","30-44",1,4,1812
"246",1968,"04","30-44",1,5,2196
"247",1968,"04","30-44",1,6,4940
"248",1968,"04","30-44",2,3,16
"249",1968,"04","30-44",2,4,16
"250",1968,"04","30-44",2,5,36
"251",1968,"04","30-44",2,6,84
"252",1968,"04","30-44",3,9,24
"253",1968,"04","30-44",6,9,7100
"254",1968,"04","45-59",1,1,2204
"255",1968,"04","45-59",1,2,1760
"256",1968,"04","45-59",1,3,508
"257",1968,"04","45-59",1,4,1076
"258",1968,"04","45-59",1,5,1708
"259",1968,"04","45-59",1,6,2924
