DEP_RES_21,Tranche d'age,AN_RECENS,CSP,TYP_ACT,POND
04,30-44,1968,6,1,4940
04,30-44,1968,3,1,832
04,45-59,1968,2,1,1760
04,45-59,1968,5,1,1708
04,45-59,1968,6,1,2924
04,45-59,1968,3,1,508
04,60-74,1968,2,1,788
04,less than 15,1968,9,3,1344
04,45-59,1968,8,5,1096
04,30-44,1968,5,1,2196
04,15-29,1968,2,1,832
04,15-29,1968,5,1,2552
04,45-59,1968,4,1,1076
04,75 more,1968,9,6,2232
04,15-29,1968,9,2,28
04,15-29,1968,6,2,180
04,15-29,1968,5,2,148
04,15-29,1968,4,2,20
04,15-29,1968,3,2,4
04,30-44,1968,9,3,24
04,30-44,1968,6,2,84
04,30-44,1968,5,2,36
04,45-59,1968,5,2,32
04,45-59,1968,6,2,112
04,60-74,1968,6,2,20
04,60-74,1968,5,2,8
04,30-44,1968,1,1,1828
04,less than 15,1968,1,1,4
04,less than 15,1968,6,1,28
04,15-29,1968,1,1,752
04,15-29,1968,3,1,224
04,30-44,1968,2,1,1884
04,45-59,1968,1,1,2204
04,60-74,1968,1,1,1736
04,60-74,1968,6,1,624
04,60-74,1968,5,1,344
04,60-74,1968,4,1,248
04,60-74,1968,3,1,104
04,75 more,1968,1,1,164
04,75 more,1968,2,1,40
04,75 more,1968,4,1,20
04,75 more,1968,5,1,12
04,75 more,1968,3,1,8
04,75 more,1968,6,1,8
04,45-59,1968,4,2,12
04,30-44,1968,3,2,16
04,60-74,1968,4,2,4
04,30-44,1968,4,2,16
04,45-59,1968,3,2,4
05,less than 15,1968,9,6,20536
05,15-29,1968,9,6,3092
05,30-44,1968,9,6,5608
05,45-59,1968,9,6,5024
05,60-74,1968,9,6,3800
05,60-74,1968,8,5,5192
05,75 more,1968,9,6,1560
05,15-29,1968,6,1,3796
05,30-44,1968,4,1,1520
05,30-44,1968,2,1,1584
05,45-59,1968,5,1,1708
05,45-59,1968,6,1,2384
05,15-29,1968,4,1,1348
05,15-29,1968,5,1,2980
05,30-44,1968,6,1,3472
05,30-44,1968,3,1,720
05,30-44,1968,5,1,2352
05,45-59,1968,3,1,440
05,45-59,1968,2,1,1592
05,60-74,1968,5,1,332
05,15-29,1968,3,1,368
05,15-29,1968,9,3,4816
05,75 more,1968,8,5,2804
05,45-59,1968,4,1,1040
05,45-59,1968,8,5,836
05,60-74,1968,6,1,408
05,less than 15,1968,9,3,1224
05,15-29,1968,9,4,448
05,15-29,1968,4,2,24
05,45-59,1968,6,2,60
05,60-74,1968,6,2,16
05,15-29,1968,1,1,1032
05,45-59,1968,1,1,2920
05,15-29,1968,2,1,724
05,30-44,1968,1,1,2424
05,60-74,1968,1,1,2076
05,60-74,1968,2,1,724
05,75 more,1968,1,1,284
05,15-29,1968,6,2,160
05,15-29,1968,5,2,52
05,15-29,1968,9,2,36
05,30-44,1968,6,2,76
05,30-44,1968,9,3,4
05,45-59,1968,5,2,24
05,60-74,1968,5,2,8
05,15-29,1968,3,2,4
05,less than 15,1968,1,1,4
05,less than 15,1968,6,1,20
05,60-74,1968,4,1,152
05,60-74,1968,3,1,88
05,75 more,1968,2,1,64
05,75 more,1968,4,1,64
05,75 more,1968,5,1,4
05,75 more,1968,6,1,4
05,30-44,1968,5,2,20
05,less than 15,1968,2,1,4
05,60-74,1968,4,2,4
05,30-44,1968,4,2,20
05,45-59,1968,9,2,4
05,45-59,1968,3,2,4
05,45-59,1968,4,2,12
05,30-44,1968,9,2,4
06,less than 15,1968,9,6,125772
06,15-29,1968,9,3,33460
06,15-29,1968,9,6,22640
06,30-44,1968,9,6,44252
06,45-59,1968,9,6,40696
06,45-59,1968,8,5,10620
06,60-74,1968,8,5,60348
06,60-74,1968,9,6,40856
06,60-74,1968,5,2,468
06,75 more,1968,8,5,29280
06,75 more,1968,9,6,18848
06,less than 15,1968,9,3,6932
06,15-29,1968,9,4,2668
06,15-29,1968,6,2,2500
06,30-44,1968,5,2,1328
06,30-44,1968,4,2,368
06,45-59,1968,6,2,1884
06,60-74,1968,6,2,656
06,45-59,1968,5,2,1428
06,15-29,1968,6,1,30888
06,15-29,1968,4,1,8144
06,30-44,1968,4,1,11408
06,30-44,1968,6,1,31968
06,45-59,1968,2,1,16576
06,60-74,1968,2,1,8300
06,15-29,1968,2,1,5220
06,15-29,1968,5,1,24700
06,15-29,1968,1,1,1508
06,30-44,1968,2,1,15232
06,30-44,1968,3,1,6736
06,30-44,1968,5,1,23136
06,45-59,1968,3,1,6092
06,45-59,1968,4,1,8560
06,45-59,1968,6,1,19452
06,45-59,1968,5,1,20996
06,45-59,1968,1,1,4216
06,60-74,1968,5,1,7448
06,60-74,1968,6,1,6204
06,60-74,1968,4,1,2524
06,60-74,1968,1,1,2968
06,60-74,1968,3,1,2260
06,75 more,1968,5,1,352
06,15-29,1968,3,1,2456
06,30-44,1968,6,2,1864
06,45-59,1968,4,2,412
06,less than 15,1968,6,1,228
06,75 more,1968,2,1,784
06,15-29,1968,5,2,1840
06,30-44,1968,9,3,188
06,30-44,1968,3,2,136
06,15-29,1968,9,2,496
06,30-44,1968,1,1,3108
06,75 more,1968,1,1,292
06,less than 15,1968,6,2,12
06,less than 15,1968,5,2,12
06,15-29,1968,4,2,412
06,15-29,1968,3,2,72
06,30-44,1968,9,2,56
06,45-59,1968,3,2,220
06,45-59,1968,9,3,20
06,45-59,1968,9,2,44
06,60-74,1968,4,2,152
06,60-74,1968,3,2,84
06,60-74,1968,9,2,12
06,75 more,1968,5,2,16
06,75 more,1968,6,2,16
06,less than 15,1968,1,1,12
06,less than 15,1968,2,1,16
06,less than 15,1968,5,1,56
06,75 more,1968,6,1,192
06,75 more,1968,3,1,168
06,75 more,1968,4,1,248
06,less than 15,1968,9,2,4
06,30-44,1968,9,4,4
07,less than 15,1968,9,6,59792
07,less than 15,1968,9,3,3180
07,15-29,1968,9,3,10740
07,15-29,1968,9,6,9272
07,15-29,1968,9,4,1312
07,30-44,1968,9,6,15960
07,45-59,1968,9,6,13640
07,45-59,1968,8,5,2300
07,60-74,1968,8,5,17180
07,60-74,1968,9,6,12484
07,75 more,1968,9,6,5248
07,75 more,1968,8,5,8828
07,45-59,1968,2,1,3640
07,15-29,1968,6,1,15516
07,30-44,1968,6,1,12568
07,15-29,1968,2,1,1404
07,15-29,1968,5,1,5864
07,30-44,1968,2,1,3964
07,30-44,1968,5,1,4252
07,30-44,1968,4,1,3704
07,30-44,1968,3,1,1148
07,45-59,1968,5,1,3328
07,45-59,1968,6,1,8156
07,45-59,1968,1,1,7480
07,60-74,1968,2,1,1700
07,15-29,1968,4,1,3236
07,45-59,1968,3,1,692
07,45-59,1968,4,1,2520
07,15-29,1968,1,1,3116
07,60-74,1968,4,1,704
07,45-59,1968,6,2,248
07,60-74,1968,3,1,164
07,15-29,1968,4,2,56
07,60-74,1968,5,1,688
07,15-29,1968,3,1,428
07,30-44,1968,5,2,64
07,30-44,1968,1,1,6176
07,15-29,1968,6,2,360
07,15-29,1968,9,2,56
07,15-29,1968,5,2,144
07,15-29,1968,3,2,8
07,30-44,1968,9,3,32
07,30-44,1968,6,2,228
07,30-44,1968,4,2,32
07,30-44,1968,9,2,4
07,45-59,1968,9,3,4
07,45-59,1968,5,2,60
07,45-59,1968,4,2,16
07,45-59,1968,3,2,8
07,60-74,1968,6,2,80
07,60-74,1968,4,2,4
07,75 more,1968,5,2,4
07,75 more,1968,4,1,180
07,less than 15,1968,1,1,48
07,less than 15,1968,6,1,124
07,less than 15,1968,5,1,16
07,less than 15,1968,2,1,4
07,60-74,1968,1,1,4756
07,60-74,1968,6,1,1696
07,75 more,1968,1,1,660
07,75 more,1968,2,1,228
07,75 more,1968,6,1,32
07,75 more,1968,5,1,20
07,75 more,1968,3,1,12
07,less than 15,1968,6,2,4
07,30-44,1968,3,2,4
07,60-74,1968,5,2,4
08,less than 15,1968,9,6,87764
08,15-29,1968,9,3,12628
08,15-29,1968,9,6,12064
08,15-29,1968,9,4,1572
08,30-44,1968,9,6,19740
08,45-59,1968,9,6,13284
08,60-74,1968,9,6,12880
08,75 more,1968,9,6,5308
08,15-29,1968,6,1,19536
08,15-29,1968,5,1,9492
08,15-29,1968,4,1,4012
08,30-44,1968,3,1,1712
08,30-44,1968,6,1,17664
08,30-44,1968,4,1,5028
08,45-59,1968,2,1,2936
08,60-74,1968,2,1,1532
08,30-44,1968,5,1,6316
08,less than 15,1968,9,3,4724
08,15-29,1968,9,2,188
08,15-29,1968,5,2,360
08,30-44,1968,9,2,16
08,45-59,1968,8,5,2720
08,60-74,1968,8,5,16396
08,75 more,1968,8,5,6644
08,less than 15,1968,6,2,4
08,15-29,1968,6,2,520
08,45-59,1968,6,1,10340
08,15-29,1968,1,1,2100
08,15-29,1968,2,1,1392
08,30-44,1968,2,1,3780
08,30-44,1968,1,1,4304
08,45-59,1968,5,1,4516
08,45-59,1968,1,1,3656
08,less than 15,1968,6,1,144
08,less than 15,1968,5,1,40
08,15-29,1968,3,1,580
08,45-59,1968,4,1,3200
08,45-59,1968,3,1,1148
08,60-74,1968,6,1,2500
08,60-74,1968,3,1,376
08,60-74,1968,5,1,1276
08,60-74,1968,4,1,468
08,60-74,1968,1,1,2060
08,75 more,1968,1,1,136
08,75 more,1968,2,1,148
08,15-29,1968,4,2,48
08,30-44,1968,9,3,28
08,30-44,1968,6,2,340
08,30-44,1968,5,2,112
08,30-44,1968,3,2,12
08,30-44,1968,4,2,16
08,45-59,1968,6,2,160
08,45-59,1968,4,2,28
08,45-59,1968,5,2,68
08,45-59,1968,3,2,12
08,45-59,1968,9,2,8
08,60-74,1968,6,2,40
08,60-74,1968,5,2,44
08,60-74,1968,4,2,12
08,less than 15,1968,1,1,20
08,less than 15,1968,4,1,4
08,less than 15,1968,2,1,4
08,75 more,1968,4,1,28
08,75 more,1968,6,1,36
08,75 more,1968,5,1,56
08,75 more,1968,3,1,24
08,less than 15,1968,9,2,4
09,less than 15,1968,9,6,27392
09,15-29,1968,9,4,676
09,15-29,1968,9,3,7272
09,15-29,1968,9,6,3952
09,45-59,1968,5,1,1808
09,15-29,1968,1,1,1420
09,15-29,1968,2,1,688
09,30-44,1968,5,1,2576
09,15-29,1968,9,2,108
09,30-44,1968,9,6,8696
09,45-59,1968,9,6,7592
09,60-74,1968,8,5,11756
09,60-74,1968,9,6,7464
09,75 more,1968,8,5,6728
09,75 more,1968,9,6,3480
09,30-44,1968,6,1,6076
09,30-44,1968,4,1,1708
09,45-59,1968,4,1,1392
09,45-59,1968,6,1,4696
09,30-44,1968,1,1,3236
09,15-29,1968,5,1,2760
09,15-29,1968,4,1,1236
09,45-59,1968,1,1,4408
09,30-44,1968,3,1,540
09,30-44,1968,2,1,1948
09,15-29,1968,6,1,5072
09,45-59,1968,3,1,624
09,60-74,1968,1,1,3832
